
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                rw[25]     -5.44      3.79     -5.90     -9.78      2.80     10.72      1.13
                rw[26]     -5.49      3.67     -6.31     -9.89      1.40     10.76      1.12
                rw[27]     -5.58      3.70     -6.40    -10.15      1.55     10.42      1.12
                rw[28]     -5.84      3.56     -6.67    -11.19      0.74     10.11      1.12
                rw[29]     -5.83      3.67     -6.53    -10.89      1.28     10.51      1.11
                rw[30]     -5.75      3.87     -6.23    -11.31      1.54     10.82      1.10
                rw[31]     -5.92      3.90     -6.57    -12.28      1.32     10.56      1.12
                rw[32]     -5.82      3.93     -6.48    -11.80      1.54     10.32      1.10
                rw[33]     -5.72      3.93     -6.77    -11.18      1.78     10.08      1.10
                rw[34]     -5.67      3.89     -6.18    -10.67      2.40     10.36      1.09
                rw[35]     -5.68      3.93     -6.11    -12.32      0.53     11.31      1.09
                rw[36]     -5.66      4.08     -5.68    -12.46      0.95     12.15      1.08
                rw[37]     -5.67      4.18     -5.90    -11.67      2.40     12.38      1.07
                rw[38]     -5.56      4.24     -5.87    -12.93      1.41     12.63      1.08
                rw[39]     -5.59      4.39     -5.96    -12.96      1.46     13.40      1.06
                rw[40]     -5.59      4.28     -6.07    -11.71      2.36     12.41      1.08
                rw[41]     -5.60      4.32     -5.68    -11.62      2.14     12.40      1.08
                rw[42]     -5.65      4.56     -6.31    -12.62      2.65     13.18      1.09
                rw[43]     -5.72      4.61     -5.94    -14.11      0.65     14.17      1.07
                rw[44]     -5.53      4.73     -5.84    -14.17      0.62     14.54      1.05
                rw[45]     -5.50      4.84     -5.66    -13.85      1.21     14.40      1.07
                rw[46]     -5.50      4.87     -5.59    -14.36      1.18     16.07      1.05
                rw[47]     -5.52      4.66     -5.27    -12.40      2.02     17.06      1.05
                rw[48]     -5.53      4.84     -5.60    -14.65      1.77     17.62      1.05
                 sigma      0.17      0.07      0.15      0.06      0.27     71.10      1.03

Number of divergences: 0
