
                             mean       std    median      5.0%     95.0%     n_eff     r_hat
         det_prob[1,15]      0.23      0.07      0.21      0.11      0.33     28.25      0.99
         det_prob[1,16]      0.22      0.07      0.21      0.11      0.33     33.66      0.99
         det_prob[1,17]      0.21      0.08      0.20      0.11      0.32     31.94      0.99
         det_prob[1,18]      0.20      0.07      0.19      0.08      0.29     30.54      0.99
         det_prob[1,19]      0.19      0.07      0.17      0.11      0.30     28.53      0.99
         det_prob[1,20]      0.19      0.06      0.17      0.10      0.30     27.88      0.99
         det_prob[1,21]      0.17      0.05      0.16      0.11      0.28     34.64      0.99
         det_prob[1,22]      0.16      0.06      0.15      0.09      0.26     30.32      1.00
         det_prob[1,23]      0.16      0.05      0.14      0.08      0.23     28.47      0.99
         det_prob[1,24]      0.15      0.05      0.13      0.07      0.21     29.07      1.01
         det_prob[1,25]      0.14      0.06      0.12      0.05      0.21     33.68      1.01
         det_prob[1,26]      0.14      0.05      0.12      0.07      0.23     26.36      1.01
         det_prob[1,27]      0.13      0.06      0.11      0.07      0.24     25.95      1.00
         det_prob[1,28]      0.14      0.06      0.12      0.07      0.23     23.67      0.99
         det_prob[1,29]      0.13      0.06      0.11      0.05      0.22     23.04      0.99
         det_prob[1,30]      0.14      0.06      0.13      0.05      0.22     20.68      1.00
         det_prob[1,31]      0.14      0.06      0.12      0.07      0.21     19.94      1.01
         det_prob[1,32]      0.14      0.06      0.12      0.06      0.24     18.53      1.00
         det_prob[1,33]      0.13      0.06      0.12      0.06      0.21     19.80      1.01
         det_prob[1,34]      0.13      0.06      0.11      0.06      0.22     18.60      1.00
         det_prob[1,35]      0.13      0.06      0.11      0.05      0.22     20.44      1.00
         det_prob[1,36]      0.13      0.06      0.11      0.06      0.23     18.92      1.00
         det_prob[1,37]      0.13      0.06      0.11      0.05      0.23     18.03      1.00
         det_prob[1,38]      0.14      0.07      0.12      0.06      0.25     17.65      1.00
         det_prob[1,39]      0.15      0.07      0.13      0.08      0.29     16.50      1.02
         det_prob[1,40]      0.14      0.07      0.12      0.06      0.25     18.14      1.01
         det_prob[1,41]      0.14      0.07      0.12      0.06      0.26     17.53      1.01
         det_prob[1,42]      0.14      0.08      0.12      0.05      0.26     18.91      1.01
         det_prob[1,43]      0.15      0.08      0.13      0.04      0.25     20.87      1.00
         det_prob[1,44]      0.15      0.08      0.13      0.05      0.27     20.74      1.00
         det_prob[1,45]      0.15      0.07      0.13      0.05      0.26     19.19      1.01
         det_prob[1,46]      0.16      0.08      0.14      0.04      0.26     19.04      1.02
         det_prob[1,47]      0.16      0.08      0.14      0.05      0.26     17.88      1.01
           det_prob0[0]      0.28      0.06      0.28      0.17      0.36    164.10      0.99
           det_prob0[1]      0.29      0.06      0.29      0.19      0.37    116.44      1.00
          det_prob_d[0]      0.90      0.03      0.90      0.86      0.95    229.49      0.99
          det_prob_d[1]      0.90      0.03      0.90      0.86      0.94    152.32      0.99
               gamma[0]      0.58      0.15      0.57      0.35      0.83     73.01      0.99
               gamma[1]      0.46      0.14      0.45      0.27      0.68     52.51      1.00
                rw[0,0]      1.03      0.21      1.02      0.71      1.37     29.57      0.99
                rw[0,1]      1.09      0.33      1.03      0.60      1.62     16.47      1.01
                rw[0,2]      1.17      0.43      1.08      0.55      1.84     20.83      0.99
                rw[0,3]      1.13      0.40      1.11      0.52      1.72     15.72      0.99
                rw[0,4]      1.06      0.40      1.03      0.47      1.56     13.02      0.99
                rw[0,5]      0.92      0.37      0.86      0.32      1.31     12.00      1.00
                rw[0,6]      0.80      0.36      0.74      0.33      1.32     12.02      1.02
                rw[0,7]      0.62      0.28      0.58      0.23      1.00     10.97      1.03
                rw[0,8]      0.50      0.21      0.49      0.20      0.75     12.06      1.04
                rw[0,9]      0.41      0.16      0.39      0.15      0.64     10.46      1.05
               rw[0,10]      0.35      0.15      0.32      0.15      0.59     11.59      1.01
               rw[0,11]      0.32      0.15      0.29      0.15      0.54     13.63      1.00
