
                             mean       std    median      5.0%     95.0%     n_eff     r_hat
                rw[1,8]      0.82      0.12      0.81      0.62      1.01     85.75      0.99
                rw[1,9]      0.85      0.10      0.84      0.71      1.05     97.39      1.00
               rw[1,10]      0.88      0.10      0.88      0.72      1.00    104.81      0.99
               rw[1,11]      0.91      0.11      0.90      0.77      1.09    116.12      0.99
               rw[1,12]      0.92      0.11      0.91      0.77      1.13     75.85      1.00
               rw[1,13]      0.94      0.13      0.93      0.76      1.17     65.81      1.00
               rw[1,14]      0.95      0.13      0.94      0.75      1.17     71.70      0.99
               rw[1,15]      0.95      0.13      0.95      0.72      1.15     47.84      0.99
               rw[1,16]      0.95      0.15      0.95      0.69      1.17     34.46      0.99
               rw[1,17]      0.93      0.14      0.96      0.66      1.10     32.55      0.99
               rw[1,18]      0.92      0.17      0.92      0.60      1.15     29.80      1.00
               rw[1,19]      0.91      0.18      0.91      0.59      1.12     27.37      0.99
               rw[1,20]      0.89      0.18      0.89      0.57      1.15     25.78      0.99
               rw[1,21]      0.87      0.19      0.88      0.51      1.07     30.32      0.99
               rw[1,22]      0.86      0.19      0.85      0.53      1.09     29.35      0.99
               rw[1,23]      0.85      0.17      0.84      0.50      1.07     26.80      0.99
               rw[1,24]      0.84      0.18      0.84      0.46      1.08     20.45      0.99
               rw[1,25]      0.83      0.17      0.84      0.60      1.13     19.91      0.99
               rw[1,26]      0.80      0.16      0.79      0.53      1.04     19.99      1.00
               rw[1,27]      0.76      0.16      0.78      0.52      1.02     22.44      1.00
               rw[1,28]      0.74      0.15      0.75      0.50      0.96     22.53      1.00
               rw[1,29]      0.71      0.14      0.71      0.47      0.91     24.02      1.00
               rw[1,30]      0.68      0.14      0.68      0.40      0.85     24.42      1.01
               rw[1,31]      0.64      0.14      0.64      0.39      0.83     29.67      1.00
               rw[1,32]      0.60      0.13      0.60      0.38      0.79     29.88      1.00
               rw[1,33]      0.56      0.12      0.56      0.32      0.71     25.97      0.99
               rw[1,34]      0.53      0.12      0.53      0.32      0.70     32.14      0.99
               rw[1,35]      0.51      0.13      0.50      0.33      0.74     35.45      0.99
               rw[1,36]      0.49      0.11      0.49      0.28      0.63     27.02      0.99
               rw[1,37]      0.47      0.10      0.46      0.30      0.61     26.56      0.99
               rw[1,38]      0.46      0.10      0.46      0.27      0.58     25.21      0.99
               rw[1,39]      0.44      0.10      0.44      0.29      0.60     34.25      0.99
               rw[1,40]      0.42      0.09      0.43      0.27      0.56     30.80      0.99
               rw[1,41]      0.41      0.09      0.41      0.25      0.53     29.24      0.99
               rw[1,42]      0.40      0.09      0.40      0.22      0.51     22.56      1.00
               rw[1,43]      0.39      0.09      0.39      0.22      0.50     27.52      1.00
               rw[1,44]      0.39      0.09      0.39      0.24      0.51     30.08      0.99
               rw[1,45]      0.39      0.09      0.39      0.25      0.53     30.00      0.99
               rw[1,46]      0.38      0.08      0.38      0.27      0.51     28.94      0.99
               rw[1,47]      0.38      0.09      0.38      0.26      0.53     34.20      0.99
               rw[1,48]      0.39      0.10      0.39      0.25      0.57     37.56      0.99
               rw[1,49]      0.39      0.10      0.39      0.25      0.56     41.81      0.99
               rw[1,50]      0.40      0.10      0.39      0.27      0.56     41.37      0.99
               rw[1,51]      0.39      0.10      0.39      0.23      0.54     49.65      0.99
               rw[1,52]      0.39      0.11      0.39      0.19      0.53     61.97      0.99
               rw[1,53]      0.40      0.12      0.39      0.20      0.57     61.16      0.99

Number of divergences: 0
