
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
             a_raw[77]     -0.39      0.25     -0.43     -0.80     -0.01     36.32      1.05
             a_raw[78]     -0.38      0.25     -0.41     -0.76      0.04     38.42      1.05
             a_raw[79]     -0.42      0.25     -0.44     -0.80     -0.01     37.34      1.05
             a_raw[80]     -0.44      0.25     -0.47     -0.82     -0.03     37.07      1.04
             a_raw[81]     -0.50      0.24     -0.52     -0.87     -0.12     38.15      1.04
             a_raw[82]     -0.59      0.24     -0.62     -0.96     -0.21     37.53      1.04
             a_raw[83]     -0.52      0.25     -0.54     -0.90     -0.14     37.90      1.04
             a_raw[84]     -0.46      0.25     -0.48     -0.85     -0.04     37.97      1.03
             a_raw[85]     -0.43      0.25     -0.46     -0.81     -0.01     39.38      1.04
             a_raw[86]     -0.44      0.25     -0.46     -0.83     -0.03     38.25      1.04
             a_raw[87]     -0.44      0.25     -0.46     -0.86     -0.07     39.25      1.03
             a_raw[88]     -0.44      0.25     -0.47     -0.83     -0.04     38.51      1.03
             a_raw[89]     -0.44      0.25     -0.46     -0.84     -0.05     38.81      1.03
             a_raw[90]     -0.47      0.25     -0.49     -0.82     -0.04     37.85      1.03
             a_raw[91]     -0.47      0.25     -0.51     -0.86     -0.06     35.78      1.03
             a_raw[92]     -0.48      0.25     -0.50     -0.85     -0.06     36.76      1.04
             a_raw[93]     -0.51      0.25     -0.54     -0.92     -0.12     38.35      1.03
             a_raw[94]     -0.54      0.24     -0.56     -0.88     -0.09     37.93      1.03
             a_raw[95]     -0.53      0.25     -0.56     -0.93     -0.16     37.92      1.03
             a_raw[96]     -0.52      0.25     -0.54     -0.90     -0.10     38.10      1.03
             a_raw[97]     -0.53      0.25     -0.55     -0.92     -0.13     37.19      1.04
             a_raw[98]     -0.52      0.25     -0.54     -0.91     -0.10     38.99      1.04
             a_raw[99]     -0.50      0.25     -0.52     -0.91     -0.10     39.82      1.04
            a_raw[100]     -0.52      0.25     -0.54     -0.92     -0.12     38.08      1.04
            a_raw[101]     -0.54      0.25     -0.55     -0.93     -0.14     37.12      1.05
            a_raw[102]     -0.53      0.25     -0.56     -0.91     -0.14     37.93      1.04
            a_raw[103]     -0.55      0.25     -0.58     -0.92     -0.11     39.70      1.04
            a_raw[104]     -0.60      0.24     -0.62     -0.96     -0.19     37.62      1.04
            a_raw[105]     -0.63      0.25     -0.64     -1.03     -0.25     37.41      1.04
            a_raw[106]     -0.63      0.25     -0.64     -1.00     -0.24     37.79      1.04
            a_raw[107]     -0.64      0.25     -0.66     -1.05     -0.25     39.23      1.03
            a_raw[108]     -0.66      0.25     -0.69     -1.05     -0.26     37.93      1.04
            a_raw[109]     -0.69      0.25     -0.71     -1.10     -0.32     36.87      1.04
            a_raw[110]     -0.72      0.24     -0.74     -1.08     -0.32     37.32      1.05
            a_raw[111]     -0.77      0.24     -0.78     -1.14     -0.38     36.68      1.06
            a_raw[112]     -0.78      0.24     -0.80     -1.19     -0.43     37.76      1.05
            a_raw[113]     -0.79      0.24     -0.80     -1.18     -0.45     38.14      1.04
            a_raw[114]     -0.83      0.23     -0.84     -1.20     -0.46     35.85      1.05
            a_raw[115]     -0.86      0.24     -0.87     -1.24     -0.49     37.76      1.05
            a_raw[116]     -0.86      0.24     -0.88     -1.24     -0.50     38.62      1.05
            a_raw[117]     -0.87      0.24     -0.88     -1.23     -0.50     37.65      1.04
            a_raw[118]     -0.92      0.23     -0.94     -1.28     -0.54     35.26      1.04
            a_raw[119]     -0.96      0.24     -0.99     -1.31     -0.56     36.04      1.04
            a_raw[120]     -0.96      0.24     -0.98     -1.33     -0.57     39.00      1.03
            a_raw[121]     -0.99      0.23     -1.02     -1.38     -0.64     38.30      1.03
            a_raw[122]     -1.01      0.24     -1.03     -1.39     -0.63     37.41      1.04
            a_raw[123]     -1.01      0.24     -1.02     -1.41     -0.64     37.85      1.04
            a_raw[124]     -1.02      0.24     -1.03     -1.40     -0.64     38.84      1.04
            a_raw[125]     -1.08      0.23     -1.10     -1.45     -0.70     37.22      1.04
            a_raw[126]     -1.10      0.23     -1.12     -1.49     -0.75     40.22      1.04
            a_raw[127]     -1.10      0.23     -1.12     -1.46     -0.74     40.63      1.04
            a_raw[128]     -1.14      0.23     -1.15     -1.52     -0.78     41.34      1.05
            a_raw[129]     -1.17      0.23     -1.19     -1.56     -0.82     38.81      1.05
            a_raw[130]     -1.16      0.24     -1.16     -1.50     -0.73     40.32      1.05
            a_raw[131]     -1.15      0.24     -1.17     -1.48     -0.71     39.76      1.05
            a_raw[132]     -1.19      0.24     -1.20     -1.58     -0.81     40.15      1.04
            a_raw[133]     -1.20      0.24     -1.21     -1.59     -0.81     42.77      1.04
            a_raw[134]     -1.20      0.24     -1.21     -1.60     -0.80     41.28      1.04
            a_raw[135]     -1.24      0.24     -1.26     -1.63     -0.87     39.11      1.04
            a_raw[136]     -1.27      0.24     -1.28     -1.65     -0.87     39.55      1.04
            a_raw[137]     -1.26      0.24     -1.27     -1.64     -0.85     41.21      1.04
            a_raw[138]     -1.25      0.25     -1.26     -1.68     -0.87     42.13      1.04
            a_raw[139]     -1.28      0.25     -1.29     -1.69     -0.90     42.16      1.04
            a_raw[140]     -1.28      0.25     -1.28     -1.68     -0.89     43.30      1.03
            a_raw[141]     -1.24      0.25     -1.24     -1.65     -0.85     41.44      1.04
            a_raw[142]     -1.26      0.24     -1.26     -1.65     -0.86     38.90      1.05
            a_raw[143]     -1.25      0.24     -1.25     -1.64     -0.82     40.06      1.04
            a_raw[144]     -1.22      0.25     -1.23     -1.61     -0.80     39.74      1.04
            a_raw[145]     -1.21      0.26     -1.21     -1.59     -0.75     42.14      1.04
            a_raw[146]     -1.23      0.26     -1.24     -1.62     -0.79     41.99      1.04
            a_raw[147]     -1.23      0.26     -1.24     -1.62     -0.79     43.46      1.04
            a_raw[148]     -1.26      0.27     -1.26     -1.68     -0.81     48.83      1.04
            a_raw[149]     -1.29      0.25     -1.29     -1.66     -0.85     44.50      1.04
            a_raw[150]     -1.34      0.24     -1.35     -1.72     -0.93     44.82      1.04
            a_raw[151]     -1.42      0.24     -1.44     -1.82     -1.05     42.78      1.04
            a_raw[152]     -1.40      0.24     -1.41     -1.81     -1.04     42.03      1.05
            a_raw[153]     -1.35      0.24     -1.35     -1.73     -0.95     42.55      1.04
            a_raw[154]     -1.29      0.24     -1.30     -1.69     -0.93     43.85      1.04
            a_raw[155]     -1.24      0.24     -1.24     -1.67     -0.87     45.34      1.04
            a_raw[156]     -1.24      0.24     -1.25     -1.60     -0.84     41.20      1.05
            a_raw[157]     -1.24      0.24     -1.25     -1.61     -0.85     40.39      1.04
            a_raw[158]     -1.20      0.24     -1.21     -1.58     -0.79     42.17      1.04
            a_raw[159]     -1.18      0.24     -1.19     -1.58     -0.81     41.95      1.04
            a_raw[160]     -1.20      0.24     -1.21     -1.57     -0.79     40.31      1.05
            a_raw[161]     -1.18      0.24     -1.19     -1.59     -0.82     42.69      1.04
            a_raw[162]     -1.13      0.24     -1.14     -1.56     -0.76     43.80      1.04
            a_raw[163]     -1.14      0.24     -1.16     -1.48     -0.70     41.87      1.04
            a_raw[164]     -1.13      0.24     -1.14     -1.53     -0.75     42.37      1.04
            a_raw[165]     -1.10      0.24     -1.11     -1.49     -0.73     42.50      1.04
            a_raw[166]     -1.09      0.24     -1.09     -1.47     -0.71     39.19      1.04
            a_raw[167]     -1.11      0.24     -1.12     -1.46     -0.71     36.95      1.04
            a_raw[168]     -1.08      0.23     -1.09     -1.48     -0.72     37.88      1.04
            a_raw[169]     -1.02      0.24     -1.04     -1.43     -0.66     39.83      1.05
            a_raw[170]     -1.01      0.24     -1.02     -1.42     -0.67     39.20      1.05
            a_raw[171]     -1.01      0.24     -1.02     -1.38     -0.62     39.61      1.05
            a_raw[172]     -0.98      0.24     -0.99     -1.37     -0.61     39.62      1.04
            a_raw[173]     -0.94      0.24     -0.96     -1.31     -0.55     39.48      1.05
            a_raw[174]     -0.95      0.23     -0.97     -1.37     -0.60     38.57      1.04
            a_raw[175]     -0.95      0.24     -0.98     -1.33     -0.55     39.23      1.04
            a_raw[176]     -0.94      0.23     -0.96     -1.29     -0.53     39.58      1.04
            a_raw[177]     -0.97      0.23     -1.00     -1.33     -0.57     35.97      1.04
            a_raw[178]     -0.99      0.24     -1.02     -1.38     -0.62     37.86      1.04
            a_raw[179]     -0.95      0.24     -0.96     -1.31     -0.55     38.86      1.04
            a_raw[180]     -0.92      0.24     -0.95     -1.31     -0.56     38.22      1.05
            a_raw[181]     -0.94      0.23     -0.96     -1.29     -0.55     35.40      1.05
            a_raw[182]     -0.92      0.23     -0.93     -1.28     -0.54     37.00      1.05
            a_raw[183]     -0.89      0.24     -0.91     -1.24     -0.49     40.04      1.05
            a_raw[184]     -0.91      0.23     -0.93     -1.32     -0.57     38.91      1.04
            a_raw[185]     -0.92      0.23     -0.94     -1.30     -0.56     38.96      1.04
            a_raw[186]     -0.91      0.23     -0.94     -1.27     -0.53     37.72      1.04
            a_raw[187]     -0.90      0.24     -0.93     -1.27     -0.50     37.48      1.04
            a_raw[188]     -0.92      0.23     -0.95     -1.28     -0.54     35.08      1.05
            a_raw[189]     -0.94      0.23     -0.97     -1.31     -0.57     35.52      1.05
            a_raw[190]     -0.95      0.25     -0.97     -1.36     -0.55     40.27      1.04
            a_raw[191]     -0.95      0.27     -0.97     -1.41     -0.55     46.87      1.03
             a_raw2[0]      0.08      0.04      0.07      0.02      0.14     60.00      1.00
             a_raw2[1]      0.10      0.07      0.10     -0.01      0.22    210.04      1.00
             a_raw2[2]      0.09      0.05      0.09      0.02      0.17     82.47      1.00
             a_raw2[3]      0.01      0.04      0.01     -0.05      0.06     58.64      1.01
             a_raw2[4]     -0.03      0.04     -0.03     -0.09      0.03     58.04      1.02
             a_raw2[5]      0.14      0.05      0.14      0.06      0.23     96.05      1.00
             a_raw2[6]      0.06      0.05      0.06     -0.01      0.14     71.10      1.00
             a_raw2[7]      0.04      0.06      0.04     -0.06      0.15    228.24      1.00
             a_raw2[8]      0.08      0.04      0.08      0.01      0.14     60.13      1.00
             a_raw2[9]      0.08      0.11      0.08     -0.08      0.28    433.03      1.00
                   cfr      0.01      0.00      0.01      0.01      0.01     39.59      1.06
  confirmed_dispersion      1.63      0.08      1.62      1.51      1.76    840.93      1.00
      death_dispersion      0.75      0.07      0.75      0.63      0.86    772.39      1.00
           det_prob[0]      0.25      0.06      0.25      0.15      0.35    107.78      1.00
           det_prob[1]      0.25      0.06      0.24      0.14      0.34    103.61      1.00
           det_prob[2]      0.24      0.06      0.24      0.13      0.34     96.73      1.00
           det_prob[3]      0.24      0.06      0.24      0.13      0.34     82.79      1.00
           det_prob[4]      0.24      0.07      0.23      0.13      0.34     80.08      1.00
           det_prob[5]      0.24      0.07      0.23      0.12      0.34     70.70      1.00
           det_prob[6]      0.24      0.07      0.23      0.12      0.34     66.08      1.00
           det_prob[7]      0.24      0.07      0.23      0.12      0.34     65.43      1.00
           det_prob[8]      0.24      0.07      0.23      0.11      0.34     61.84      1.00
           det_prob[9]      0.24      0.07      0.23      0.10      0.34     59.91      1.00
          det_prob[10]      0.24      0.07      0.23      0.12      0.36     61.28      1.00
          det_prob[11]      0.24      0.07      0.23      0.11      0.35     60.47      1.00
          det_prob[12]      0.24      0.07      0.23      0.12      0.35     56.22      1.00
          det_prob[13]      0.24      0.08      0.23      0.11      0.35     54.66      1.00
          det_prob[14]      0.24      0.08      0.23      0.10      0.34     52.59      1.00
          det_prob[15]      0.24      0.08      0.23      0.12      0.36     52.99      1.00
          det_prob[16]      0.24      0.08      0.23      0.11      0.35     49.51      1.00
          det_prob[17]      0.24      0.08      0.23      0.12      0.36     49.97      1.00
          det_prob[18]      0.24      0.08      0.23      0.11      0.36     48.61      1.00
          det_prob[19]      0.24      0.08      0.23      0.11      0.36     49.32      1.00
          det_prob[20]      0.24      0.08      0.23      0.12      0.37     49.60      1.00
          det_prob[21]      0.24      0.08      0.23      0.10      0.36     48.59      1.00
          det_prob[22]      0.24      0.08      0.23      0.10      0.35     49.83      1.00
          det_prob[23]      0.24      0.08      0.22      0.09      0.35     48.11      1.00
          det_prob[24]      0.24      0.08      0.23      0.11      0.37     47.08      1.00
          det_prob[25]      0.23      0.08      0.22      0.09      0.35     49.44      1.01
          det_prob[26]      0.23      0.08      0.22      0.10      0.35     50.08      1.01
          det_prob[27]      0.23      0.08      0.22      0.10      0.35     49.81      1.01
          det_prob[28]      0.23      0.08      0.22      0.10      0.36     49.14      1.00
          det_prob[29]      0.23      0.08      0.22      0.09      0.35     47.22      1.01
          det_prob[30]      0.23      0.08      0.22      0.09      0.35     48.55      1.01
          det_prob[31]      0.23      0.08      0.22      0.09      0.34     48.86      1.01
          det_prob[32]      0.22      0.08      0.22      0.10      0.35     49.23      1.01
          det_prob[33]      0.22      0.08      0.21      0.09      0.35     49.35      1.01
          det_prob[34]      0.22      0.08      0.21      0.10      0.36     48.19      1.01
          det_prob[35]      0.22      0.08      0.21      0.09      0.35     48.84      1.01
          det_prob[36]      0.22      0.08      0.21      0.08      0.34     49.20      1.01
          det_prob[37]      0.22      0.08      0.21      0.10      0.36     50.62      1.01
          det_prob[38]      0.22      0.08      0.21      0.10      0.36     49.96      1.01
          det_prob[39]      0.22      0.08      0.21      0.10      0.36     50.24      1.01
          det_prob[40]      0.22      0.08      0.21      0.09      0.35     50.83      1.01
          det_prob[41]      0.23      0.08      0.21      0.10      0.35     49.78      1.01
          det_prob[42]      0.23      0.08      0.22      0.11      0.37     50.67      1.01
          det_prob[43]      0.23      0.08      0.22      0.11      0.37     50.93      1.01
          det_prob[44]      0.23      0.09      0.22      0.11      0.37     52.41      1.01
          det_prob[45]      0.24      0.09      0.22      0.11      0.37     53.40      1.01
          det_prob[46]      0.24      0.09      0.22      0.10      0.37     54.17      1.01
