
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                rw[19]     -0.52      3.17     -0.38     -5.39      5.00     38.20      1.03
                rw[20]     -0.94      3.20     -0.77     -6.29      3.98     37.89      1.03
                rw[21]     -1.38      3.18     -1.28     -6.72      3.55     39.26      1.03
                rw[22]     -1.86      3.16     -1.78     -7.03      3.24     40.90      1.02
                rw[23]     -2.33      3.18     -2.15     -7.69      2.69     40.83      1.03
                rw[24]     -2.79      3.21     -2.67     -7.87      2.63     41.70      1.03
                rw[25]     -3.19      3.19     -3.00     -8.42      1.93     41.52      1.03
                rw[26]     -3.62      3.15     -3.45     -9.03      1.29     41.04      1.03
                rw[27]     -4.06      3.14     -3.95     -9.48      0.65     41.28      1.03
                rw[28]     -4.42      3.15     -4.31     -9.43      0.76     41.66      1.03
                rw[29]     -4.76      3.11     -4.63    -10.16     -0.02     43.52      1.03
                rw[30]     -5.13      3.14     -5.00    -10.45     -0.36     41.66      1.03
                rw[31]     -5.45      3.18     -5.29    -10.89     -0.53     39.28      1.03
                rw[32]     -5.78      3.23     -5.65    -11.36     -0.59     39.29      1.04
                rw[33]     -6.13      3.21     -6.05    -11.46     -0.76     38.81      1.04
                rw[34]     -6.48      3.20     -6.43    -11.93     -1.66     37.81      1.04
                rw[35]     -6.77      3.20     -6.60    -11.90     -1.56     40.20      1.04
                rw[36]     -7.07      3.21     -6.81    -12.76     -2.58     41.53      1.04
                rw[37]     -7.27      3.25     -7.08    -12.38     -1.96     42.21      1.03
                rw[38]     -7.52      3.28     -7.29    -12.80     -2.29     42.28      1.04
                rw[39]     -7.75      3.28     -7.40    -13.00     -2.64     43.68      1.04
                rw[40]     -7.93      3.26     -7.70    -13.45     -3.03     45.47      1.04
                rw[41]     -8.19      3.23     -8.01    -13.65     -3.32     42.60      1.04
                rw[42]     -8.39      3.24     -8.17    -13.03     -2.58     44.62      1.03
                rw[43]     -8.64      3.26     -8.45    -13.82     -3.27     44.12      1.03
                rw[44]     -8.84      3.29     -8.66    -14.43     -3.65     44.70      1.03
                rw[45]     -8.99      3.29     -8.76    -14.44     -3.75     46.51      1.04
                rw[46]     -9.09      3.40     -8.86    -14.65     -3.51     48.45      1.04
                rw[47]     -9.22      3.44     -8.96    -14.45     -3.65     51.03      1.03
                rw[48]     -9.34      3.42     -9.19    -15.38     -4.44     54.99      1.03
                rw[49]     -9.40      3.53     -9.08    -15.27     -3.72     54.49      1.04
                rw[50]     -9.46      3.57     -9.31    -15.33     -3.86     61.47      1.03
                rw[51]     -9.58      3.64     -9.37    -15.65     -3.62     69.25      1.03
                rw[52]     -9.56      3.80     -9.44    -15.66     -3.45     71.66      1.02
                rw[53]     -9.57      3.87     -9.49    -15.30     -2.79     76.11      1.02
                rw[54]     -9.60      3.99     -9.43    -15.90     -3.23     75.31      1.02
                 sigma      0.25      0.01      0.25      0.24      0.26   1115.03      1.00

Number of divergences: 0
